DATE,PCU518210518210
2000-12-01,100.0
2001-01-01,100.6
2001-02-01,101.4
2001-03-01,101.4
2001-04-01,101.9
2001-05-01,101.7
2001-06-01,101.8
2001-07-01,102.1
2001-08-01,101.6
2001-09-01,101.7
2001-10-01,101.9
2001-11-01,101.9
2001-12-01,101.7
2002-01-01,102.9
2002-02-01,102.2
2002-03-01,102.2
2002-04-01,103.0
2002-05-01,103.1
2002-06-01,102.9
2002-07-01,103.4
2002-08-01,103.0
2002-09-01,102.6
2002-10-01,103.3
2002-11-01,102.7
2002-12-01,102.9
2003-01-01,102.9
2003-02-01,102.8
2003-03-01,102.7
2003-04-01,102.7
2003-05-01,103.0
2003-06-01,102.9
2003-07-01,103.3
2003-08-01,103.2
2003-09-01,103.1
2003-10-01,103.4
2003-11-01,103.3
2003-12-01,103.2
2004-01-01,103.1
2004-02-01,102.1
2004-03-01,101.6
2004-04-01,101.7
2004-05-01,102.1
2004-06-01,102.2
2004-07-01,102.2
2004-08-01,102.2
2004-09-01,101.9
2004-10-01,101.8
2004-11-01,101.8
2004-12-01,101.8
2005-01-01,101.9
2005-02-01,102.0
2005-03-01,101.8
2005-04-01,101.9
2005-05-01,101.9
2005-06-01,102.2
2005-07-01,102.2
2005-08-01,102.0
2005-09-01,102.2
2005-10-01,102.2
2005-11-01,102.0
2005-12-01,102.1
2006-01-01,102.2
2006-02-01,102.5
2006-03-01,102.4
2006-04-01,102.2
2006-05-01,102.8
2006-06-01,102.8
2006-07-01,103.1
2006-08-01,103.5
2006-09-01,103.5
2006-10-01,103.3
2006-11-01,103.2
2006-12-01,103.1
2007-01-01,103.3
2007-02-01,103.4
2007-03-01,103.4
2007-04-01,103.3
2007-05-01,103.6
2007-06-01,103.6
2007-07-01,103.6
2007-08-01,103.7
2007-09-01,103.7
2007-10-01,103.6
2007-11-01,103.7
2007-12-01,103.6
2008-01-01,103.7
2008-02-01,103.8
2008-03-01,103.7
2008-04-01,103.7
2008-05-01,104.1
2008-06-01,104.1
2008-07-01,104.2
2008-08-01,104.3
2008-09-01,104.4
2008-10-01,104.6
2008-11-01,104.6
2008-12-01,104.6
2009-01-01,104.3
2009-02-01,104.2
2009-03-01,104.2
2009-04-01,104.2
2009-05-01,104.2
2009-06-01,104.2
2009-07-01,104.2
2009-08-01,104.2
2009-09-01,104.2
2009-10-01,104.3
2009-11-01,103.9
2009-12-01,103.9
2010-01-01,103.9
2010-02-01,103.9
2010-03-01,103.9
2010-04-01,104.1
2010-05-01,104.1
2010-06-01,104.1
2010-07-01,104.1
2010-08-01,104.1
2010-09-01,105.0
2010-10-01,105.0
2010-11-01,105.0
2010-12-01,105.0
2011-01-01,105.0
2011-02-01,105.0
2011-03-01,105.0
2011-04-01,105.0
2011-05-01,105.0
2011-06-01,105.2
2011-07-01,105.3
2011-08-01,105.3
2011-09-01,105.3
2011-10-01,105.3
2011-11-01,105.3
2011-12-01,105.3
2012-01-01,105.5
2012-02-01,105.3
2012-03-01,105.4
2012-04-01,105.4
2012-05-01,105.1
2012-06-01,105.8
2012-07-01,106.2
2012-08-01,106.0
2012-09-01,106.0
2012-10-01,106.0
2012-11-01,106.0
2012-12-01,106.1
2013-01-01,106.1
2013-02-01,105.9
2013-03-01,106.0
2013-04-01,106.0
2013-05-01,106.0
2013-06-01,106.0
2013-07-01,106.0
2013-08-01,106.0
2013-09-01,106.0
2013-10-01,106.6
2013-11-01,106.6
2013-12-01,106.6
2014-01-01,106.6
2014-02-01,106.7
2014-03-01,106.9
2014-04-01,106.9
2014-05-01,106.6
2014-06-01,106.8
2014-07-01,106.9
2014-08-01,106.7
2014-09-01,106.9
2014-10-01,106.9
2014-11-01,107.0
2014-12-01,106.9
2015-01-01,107.1
2015-02-01,107.1
2015-03-01,107.2
2015-04-01,107.2
2015-05-01,107.2
2015-06-01,107.2
2015-07-01,107.2
2015-08-01,107.2
2015-09-01,107.2
2015-10-01,106.8
2015-11-01,107.0
2015-12-01,107.0
2016-01-01,106.6
2016-02-01,106.6
2016-03-01,106.7
2016-04-01,108.8
2016-05-01,108.9
2016-06-01,109.0
2016-07-01,109.0
2016-08-01,109.0
2016-09-01,109.0
2016-10-01,109.0
2016-11-01,109.0
2016-12-01,108.9
2017-01-01,109.0
2017-02-01,109.0
2017-03-01,110.2
2017-04-01,110.1
2017-05-01,110.2
2017-06-01,110.1
2017-07-01,110.2
2017-08-01,110.1
2017-09-01,110.2
2017-10-01,110.1
2017-11-01,110.2
2017-12-01,110.1
2018-01-01,110.1
2018-02-01,110.3
2018-03-01,110.4
2018-04-01,110.4
2018-05-01,110.4
2018-06-01,110.5
2018-07-01,110.5
2018-08-01,110.4
2018-09-01,110.5
2018-10-01,110.6
2018-11-01,109.6
2018-12-01,109.9
2019-01-01,109.9
2019-02-01,110.3
2019-03-01,110.2
2019-04-01,110.2
2019-05-01,110.2
2019-06-01,110.4
2019-07-01,110.6
2019-08-01,110.7
2019-09-01,111.6
2019-10-01,111.7
2019-11-01,111.7
2019-12-01,112.0
2020-01-01,113.3
2020-02-01,113.5
2020-03-01,113.6
2020-04-01,113.5
2020-05-01,113.4
2020-06-01,114.1
2020-07-01,114.2
2020-08-01,114.4
2020-09-01,114.6
2020-10-01,114.6
2020-11-01,114.6
2020-12-01,114.8
2021-01-01,114.7
2021-02-01,114.8
2021-03-01,115.2
2021-04-01,115.1
2021-05-01,115.1
2021-06-01,115.1
2021-07-01,115.372
2021-08-01,115.331
2021-09-01,115.177
2021-10-01,115.381
2021-11-01,115.375
2021-12-01,115.346
2022-01-01,115.023
2022-02-01,115.136
2022-03-01,114.494
2022-04-01,117.091
2022-05-01,117.176
2022-06-01,116.825
2022-07-01,116.778
2022-08-01,116.702
2022-09-01,116.566
2022-10-01,116.678
2022-11-01,116.684
2022-12-01,117.038
2023-01-01,117.190
2023-02-01,117.529
2023-03-01,117.766
2023-04-01,117.726
2023-05-01,117.818
2023-06-01,118.064
2023-07-01,118.355
2023-08-01,118.474
2023-09-01,118.297
2023-10-01,118.513
2023-11-01,118.752
2023-12-01,119.029
2024-01-01,119.403
2024-02-01,119.519
2024-03-01,119.251
2024-04-01,119.780
2024-05-01,119.780
